----------Bisection----------
Solution = -0.9273310077190399, times = 23, err = 0.0000000119
Solution = -0.9273310029506681, times = 23, err = 0.0000000119
Solution = -0.9273309981822967, times = 23, err = 0.0000000119
Solution = -0.9273310053348537, times = 23, err = 0.0000000119
Solution = -0.7055260169506068, times = 23, err = 0.0000000119
Solution = -0.7055260121822354, times = 23, err = 0.0000000119
Solution = -0.7055260074138638, times = 23, err = 0.0000000119
Solution = 0.9522739541530622, times = 23, err = 0.0000000119
Solution = 0.9522739589214338, times = 23, err = 0.0000000119
Solution = 0.9522739636898053, times = 23, err = 0.0000000119
Solution = 1.3145052182674424, times = 23, err = 0.0000000119
Solution = 1.3145052230358139, times = 23, err = 0.0000000119
Solution = 1.3145052278041858, times = 23, err = 0.0000000119
Solution = 1.4805537736415877, times = 23, err = 0.0000000119
Solution = 1.480553766489031, times = 23, err = 0.0000000119
Solution = 1.4805537712574024, times = 23, err = 0.0000000119
----------FalsePosition----------
Solution = -0.9273310009747157, times = 15, err=0.0926689990
Solution = -0.9273310001853551, times = 14, err=0.0626689998
Solution = -0.9273310018646218, times = 11, err=0.0326689981
Solution = -0.9273310032786068, times = 6, err=0.0026689967
Solution = -0.7055260129349825, times = 10, err=0.0255260129
Solution = -0.7055260159897618, times = 13, err=0.0555260160
Solution = -0.7055260177376855, times = 16, err=0.0855260177
Solution = 0.9522739623555536, times = 11, err=0.0822739624
Solution = 0.9522739597914402, times = 11, err=0.0522739598
Solution = 0.9522739597597204, times = 8, err=0.0222739598
Solution = 1.3145052223413287, times = 5, err=0.0154947777
Solution = 1.3145052223491276, times = 5, err=0.0001190989
Solution = 1.3145052223442333, times = 5, err=0.0035008893
Solution = 1.4805537682446284, times = 7, err=0.0294462318
Solution = 1.4805537680608731, times = 6, err=0.0594462319
Solution = 1.4805537683622771, times = 4, err=0.0000025952
----------ModifyFalsePositoon----------
Solution = -0.9273310020368398, times = 28, err = 0.0000000075
Solution = -0.9273310154284116, times = 23, err = 0.0000000025
Solution = -0.9273310040614204, times = 27, err = 0.0000000075
Solution = -0.9273310076547053, times = 27, err = 0.0000000093
Solution = -0.7055260202744298, times = 24, err = 0.0000000083
Solution = -0.7055260125568228, times = 27, err = 0.0000000027
Solution = -0.7055260150423542, times = 27, err = 0.0000000042
Solution = 0.9522739582627436, times = 26, err = 0.0000000032
Solution = 0.9522739577414875, times = 29, err = 0.0000000096
Solution = 0.9522739624904331, times = 27, err = 0.0000000039
Solution = 1.3145052174595306, times = 27, err = 0.0000000086
Solution = 1.3145052270523463, times = 26, err = 0.0000000067
Solution = 1.3145052177651746, times = 26, err = 0.0000000062
Solution = 1.4805537696655695, times = 28, err = 0.0000000022
Solution = 1.4805537614336963, times = 27, err = 0.0000000078
Solution = 1.4805537594767821, times = 22, err = 0.0000000022
----------SecantMethod----------
Solution = -0.9273310032865456, times = 6, err = 0.0000000000
Solution = -0.9273310032865456, times = 7, err = 0.0000000000
Solution = -0.9273310032865455, times = 7, err = 0.0000000000
Solution = -0.9273310032865377, times = 5, err = 0.0000000007
Solution = -0.7055260126686683, times = 7, err = 0.0000000000
Solution = -0.7055260126686682, times = 7, err = 0.0000000000
Solution = -0.7055260126686683, times = 6, err = 0.0000000000
Solution = 0.9522739593167014, times = 6, err = 0.0000000000
Solution = 0.9522739593167001, times = 6, err = 0.0000000003
Solution = 0.9522739593167013, times = 6, err = 0.0000000000
Solution = 1.3145052223491327, times = 6, err = 0.0000000000
Solution = 1.3145052223491336, times = 5, err = 0.0000000006
Solution = 1.3145052223491325, times = 5, err = 0.0000000001
Solution = 1.4805537683622136, times = 6, err = 0.0000000046
Solution = 1.4805537683622856, times = 6, err = 0.0000000000
Solution = 1.480553768362243, times = 4, err = 0.0000000027
----------NewtonsMethod----------
Solution = -0.7055260126686683, times = 31, err=0.0000000008
Solution = -0.7055260126686682, times = 8, err=0.0000000000
Solution = -0.9273310032865457, times = 4, err=0.0000000000
Solution = -0.9273310032865456, times = 5, err=0.0000000013
Solution = -0.9273310032865457, times = 5, err=0.0000000001
Solution = -0.9273310032865456, times = 5, err=0.0000000000
Solution = -0.9273310032865457, times = 4, err=0.0000000000
Solution = -0.9273310032865456, times = 5, err=0.0000000023
Solution = -0.9273310032865457, times = 6, err=0.0000000001
Solution = -0.7055260126686682, times = 8, err=0.0000000002
Solution = -0.7055260126686682, times = 7, err=0.0000000000
Solution = -0.7055260126686682, times = 6, err=0.0000000000
Solution = -0.7055260126686683, times = 5, err=0.0000000000
Solution = -0.7055260126686682, times = 4, err=0.0000000000
Solution = -0.7055260126686682, times = 5, err=0.0000000000
Solution = -0.7055260126686683, times = 5, err=0.0000000002
Solution = -0.7055260126686682, times = 6, err=0.0000000000
Solution = -0.7055260126686682, times = 6, err=0.0000000000
Solution = -0.7055260126686682, times = 6, err=0.0000000000
Solution = -0.7055260126686682, times = 6, err=0.0000000000
Solution = -0.7055260126686682, times = 7, err=0.0000000014
Solution = -1.2163824229239009, times = 21, err=0.0000000000
Solution = 1.3145052223491327, times = 24, err=0.0000000003
Solution = -0.7055260126686682, times = 11, err=0.0000000000
Solution = -0.7055260126686683, times = 8, err=0.0000000000
Solution = 0.9522739593167013, times = 31, err=0.0000000000
Solution = 0.9522739593167012, times = 24, err=0.0000000000
Solution = 1.4805537683622856, times = 10, err=0.0000000002
Solution = -0.7055260126686682, times = 8, err=0.0000000000
Solution = 0.9522739593167012, times = 13, err=0.0000000001
Solution = 1.4805537683622856, times = 7, err=0.0000000000
Solution = -0.7055260126686682, times = 7, err=0.0000000000
Solution = 1.4805537683622856, times = 31, err=0.0000000000
Solution = -0.7055260126686682, times = 15, err=0.0000000000
Solution = -1.2163824229239009, times = 24, err=0.0000000000
Solution = -0.7055260126686682, times = 12, err=0.0000000003
Solution = 0.9522739593167012, times = 20, err=0.0000000000
Solution = -1.2163824229239009, times = 68, err=0.0000000000
Solution = -0.7055260126686682, times = 16, err=0.0000000001
Solution = -0.9273310032865456, times = 16, err=0.0000000000
Solution = -0.7055260126686682, times = 10, err=0.0000000000
Solution = -0.7055260126686681, times = 12, err=0.0000000061
Solution = 0.9522739593167013, times = 29, err=0.0000000012
Solution = -0.7055260126686681, times = 15, err=0.0000000062
Solution = 1.3145052223491327, times = 10, err=0.0000000000
Solution = -0.7055260126686683, times = 35, err=0.0000000000
Solution = -0.9273310032865456, times = 16, err=0.0000000000
Solution = 1.4805537683622856, times = 56, err=0.0000000000
Solution = -0.7055260126686682, times = 46, err=0.0000000001
